QualityIndicatorName,QualityIndicatorId,LocationId,LocationParentId,ParentName,LocationName,OrgNumber,Value,PeriodType,MeasureName,MeasureType,TimeFrom,TimeTo
Ventetid på støttekontakt,294,1918,1743,Innlandet,Lom,34342020,66.667,Årlig,Andel vedtak om støttekontakt med med iverksettingstid på 0-15 dager (inkludert negativ iverksettingstid) ,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Ventetid på støttekontakt,294,1919,1743,Innlandet,Vågå,34352020,93.333,Årlig,Andel vedtak om støttekontakt med med iverksettingstid på 0-15 dager (inkludert negativ iverksettingstid) ,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Ventetid på støttekontakt,294,1916,1743,Innlandet,Lesja,34322020,,Årlig,Andel vedtak om støttekontakt med med iverksettingstid på 0-15 dager (inkludert negativ iverksettingstid) ,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Ventetid på støttekontakt,294,1917,1743,Innlandet,Skjåk,34332020,79.167,Årlig,Andel vedtak om støttekontakt med med iverksettingstid på 0-15 dager (inkludert negativ iverksettingstid) ,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Ventetid på støttekontakt,294,1922,1743,Innlandet,Sør-Fron,34382020,84.615,Årlig,Andel vedtak om støttekontakt med med iverksettingstid på 0-15 dager (inkludert negativ iverksettingstid) ,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Ventetid på støttekontakt,294,1923,1743,Innlandet,Ringebu,34392020,100,Årlig,Andel vedtak om støttekontakt med med iverksettingstid på 0-15 dager (inkludert negativ iverksettingstid) ,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Ventetid på støttekontakt,294,1920,1743,Innlandet,Nord-Fron,34362020,74.194,Årlig,Andel vedtak om støttekontakt med med iverksettingstid på 0-15 dager (inkludert negativ iverksettingstid) ,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Ventetid på støttekontakt,294,1921,1743,Innlandet,Sel,34372020,100,Årlig,Andel vedtak om støttekontakt med med iverksettingstid på 0-15 dager (inkludert negativ iverksettingstid) ,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Ventetid på støttekontakt,294,1910,1743,Innlandet,Tolga,34262020,,Årlig,Andel vedtak om støttekontakt med med iverksettingstid på 0-15 dager (inkludert negativ iverksettingstid) ,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Ventetid på støttekontakt,294,1911,1743,Innlandet,Tynset,34272020,100,Årlig,Andel vedtak om støttekontakt med med iverksettingstid på 0-15 dager (inkludert negativ iverksettingstid) ,%,2020-01-01T00:00:00,2020-12-31T00:00:00
