QualityIndicatorName,QualityIndicatorId,LocationId,LocationParentId,ParentName,LocationName,OrgNumber,Value,PeriodType,MeasureName,MeasureType,TimeFrom,TimeTo
Andel brukertilpassede plasser i enerom med bad/WC,45,1788,1740,Møre og Romsdal,Aukra,15472020,100,Årlig,Andel brukertilpassede plasser i enerom med bad/WC,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Andel brukertilpassede plasser i enerom med bad/WC,45,1984,1745,Agder,Sirdal,42282020,100,Årlig,Andel brukertilpassede plasser i enerom med bad/WC,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Andel brukertilpassede plasser i enerom med bad/WC,45,1750,1739,Rogaland,Eigersund,11012020,81,Årlig,Andel brukertilpassede plasser i enerom med bad/WC,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Andel brukertilpassede plasser i enerom med bad/WC,45,1751,1739,Rogaland,Stavanger,11032020,98.8,Årlig,Andel brukertilpassede plasser i enerom med bad/WC,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Andel brukertilpassede plasser i enerom med bad/WC,45,1752,1739,Rogaland,Haugesund,11062020,81,Årlig,Andel brukertilpassede plasser i enerom med bad/WC,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Andel brukertilpassede plasser i enerom med bad/WC,45,1753,1739,Rogaland,Sandnes,11082020,93.1,Årlig,Andel brukertilpassede plasser i enerom med bad/WC,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Andel brukertilpassede plasser i enerom med bad/WC,45,1754,1739,Rogaland,Sokndal,11112020,100,Årlig,Andel brukertilpassede plasser i enerom med bad/WC,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Andel brukertilpassede plasser i enerom med bad/WC,45,1755,1739,Rogaland,Lund,11122020,100,Årlig,Andel brukertilpassede plasser i enerom med bad/WC,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Andel brukertilpassede plasser i enerom med bad/WC,45,1756,1739,Rogaland,Bjerkreim,11142020,96,Årlig,Andel brukertilpassede plasser i enerom med bad/WC,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Andel brukertilpassede plasser i enerom med bad/WC,45,1757,1739,Rogaland,Hå,11192020,100,Årlig,Andel brukertilpassede plasser i enerom med bad/WC,%,2020-01-01T00:00:00,2020-12-31T00:00:00
