QualityIndicatorName,QualityIndicatorId,LocationId,LocationParentId,ParentName,LocationName,OrgNumber,Value,PeriodType,MeasureName,MeasureType,TimeFrom,TimeTo
Lokaliseringsteknologi til personer med demens,331,1825,1741,Nordland,Steigen,18482020,15,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1861,1742,Viken,Asker,30252020,389,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1862,1742,Viken,Aurskog-Høland,30262020,52,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1859,1742,Viken,Nesodden,30232020,68,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1824,1741,Nordland,Sørfold,18452020,,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1864,1742,Viken,Enebakk,30282020,35,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1865,1742,Viken,Lørenskog,30292020,122,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1866,1742,Viken,Lillestrøm,30302020,286,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1823,1741,Nordland,Fauske-Fuossko,18412020,47,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1863,1742,Viken,Rælingen,30272020,41,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1851,1742,Viken,Skiptvet,30152020,,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1828,1741,Nordland,Røst,18562020,,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1852,1742,Viken,Rakkestad,30162020,30,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1853,1742,Viken,Råde,30172020,23,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1854,1742,Viken,"Våler, Viken",30182020,15,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1855,1742,Viken,Vestby,30192020,61,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
