QualityIndicatorName,QualityIndicatorId,LocationId,LocationParentId,ParentName,LocationName,OrgNumber,Value,PeriodType,MeasureName,MeasureType,TimeFrom,TimeTo
Hjelp til reise til og fra arbeid og utdanning,273,1767,1739,Rogaland,Kvitsøy,11442020,,Årlig,Andel søkere/tjenestemottakere med innfridde behov og ønsker om transporttjeneste i forbindelse med arbeid og utdanning.,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Hjelp til reise til og fra arbeid og utdanning,273,1986,1746,Vestland,Kinn,46022020,73.333,Årlig,Andel søkere/tjenestemottakere med innfridde behov og ønsker om transporttjeneste i forbindelse med arbeid og utdanning.,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Hjelp til reise til og fra arbeid og utdanning,273,1985,1746,Vestland,Bergen,46012020,80.923,Årlig,Andel søkere/tjenestemottakere med innfridde behov og ønsker om transporttjeneste i forbindelse med arbeid og utdanning.,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Hjelp til reise til og fra arbeid og utdanning,273,1746,388,Norge,Vestland,462020,74.063,Årlig,Andel søkere/tjenestemottakere med innfridde behov og ønsker om transporttjeneste i forbindelse med arbeid og utdanning.,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Hjelp til reise til og fra arbeid og utdanning,273,1768,1739,Rogaland,Bokn,11452020,,Årlig,Andel søkere/tjenestemottakere med innfridde behov og ønsker om transporttjeneste i forbindelse med arbeid og utdanning.,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Hjelp til reise til og fra arbeid og utdanning,273,1984,1745,Agder,Sirdal,42282020,70,Årlig,Andel søkere/tjenestemottakere med innfridde behov og ønsker om transporttjeneste i forbindelse med arbeid og utdanning.,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Hjelp til reise til og fra arbeid og utdanning,273,1990,1746,Vestland,Stord,46142020,82.609,Årlig,Andel søkere/tjenestemottakere med innfridde behov og ønsker om transporttjeneste i forbindelse med arbeid og utdanning.,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Hjelp til reise til og fra arbeid og utdanning,273,1766,1739,Rogaland,Sauda,11352020,56.25,Årlig,Andel søkere/tjenestemottakere med innfridde behov og ønsker om transporttjeneste i forbindelse med arbeid og utdanning.,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Hjelp til reise til og fra arbeid og utdanning,273,1989,1746,Vestland,Bømlo,46132020,76.596,Årlig,Andel søkere/tjenestemottakere med innfridde behov og ønsker om transporttjeneste i forbindelse med arbeid og utdanning.,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Hjelp til reise til og fra arbeid og utdanning,273,1988,1746,Vestland,Sveio,46122020,75,Årlig,Andel søkere/tjenestemottakere med innfridde behov og ønsker om transporttjeneste i forbindelse med arbeid og utdanning.,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Hjelp til reise til og fra arbeid og utdanning,273,1987,1746,Vestland,Etne,46112020,66.667,Årlig,Andel søkere/tjenestemottakere med innfridde behov og ønsker om transporttjeneste i forbindelse med arbeid og utdanning.,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Hjelp til reise til og fra arbeid og utdanning,273,1979,1745,Agder,Vennesla,42232020,72.131,Årlig,Andel søkere/tjenestemottakere med innfridde behov og ønsker om transporttjeneste i forbindelse med arbeid og utdanning.,%,2020-01-01T00:00:00,2020-12-31T00:00:00
