QualityIndicatorName,QualityIndicatorId,LocationId,LocationParentId,ParentName,LocationName,OrgNumber,Value,PeriodType,MeasureName,MeasureType,TimeFrom,TimeTo
Avtalevarighet på kommunenes fastleger,330,1914,1743,Innlandet,Os,34302020,8.633,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2016-01-01T00:00:00,2016-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1914,1743,Innlandet,Os,34302020,5.947,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2015-01-01T00:00:00,2015-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1913,1743,Innlandet,Folldal,34292020,4.393,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2017-01-01T00:00:00,2017-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1913,1743,Innlandet,Folldal,34292020,5.795,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2016-01-01T00:00:00,2016-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,2103,1748,Troms og Finnmark,Båtsfjord,54432020,8.144,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2015-01-01T00:00:00,2015-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1914,1743,Innlandet,Os,34302020,9.633,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2017-01-01T00:00:00,2017-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1916,1743,Innlandet,Lesja,34322020,10.044,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2015-01-01T00:00:00,2015-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,2102,1748,Troms og Finnmark,Unjárga-Nesseby,54422020,2.167,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2016-01-01T00:00:00,2016-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1915,1743,Innlandet,Dovre,34312020,9.784,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2017-01-01T00:00:00,2017-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1915,1743,Innlandet,Dovre,34312020,8.784,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2016-01-01T00:00:00,2016-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1915,1743,Innlandet,Dovre,34312020,7.781,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2015-01-01T00:00:00,2015-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,2102,1748,Troms og Finnmark,Unjárga-Nesseby,54422020,3.167,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2017-01-01T00:00:00,2017-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1913,1743,Innlandet,Folldal,34292020,4.792,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2015-01-01T00:00:00,2015-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1911,1743,Innlandet,Tynset,34272020,9.827,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2015-01-01T00:00:00,2015-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,2104,1748,Troms og Finnmark,Sør-Varanger,54442020,7.693,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2015-01-01T00:00:00,2015-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1910,1743,Innlandet,Tolga,34262020,2,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2017-01-01T00:00:00,2017-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1910,1743,Innlandet,Tolga,34262020,1,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2016-01-01T00:00:00,2016-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1910,1743,Innlandet,Tolga,34262020,6.379,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2015-01-01T00:00:00,2015-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1911,1743,Innlandet,Tynset,34272020,7.892,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2016-01-01T00:00:00,2016-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,2103,1748,Troms og Finnmark,Båtsfjord,54432020,9.147,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2016-01-01T00:00:00,2016-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1912,1743,Innlandet,Alvdal,34282020,10.007,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2017-01-01T00:00:00,2017-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1912,1743,Innlandet,Alvdal,34282020,9.007,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2016-01-01T00:00:00,2016-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1912,1743,Innlandet,Alvdal,34282020,8.004,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2015-01-01T00:00:00,2015-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,2103,1748,Troms og Finnmark,Båtsfjord,54432020,10.147,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2017-01-01T00:00:00,2017-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1911,1743,Innlandet,Tynset,34272020,7.517,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2017-01-01T00:00:00,2017-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,2104,1748,Troms og Finnmark,Sør-Varanger,54442020,9.282,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2016-01-01T00:00:00,2016-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1916,1743,Innlandet,Lesja,34322020,11.047,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2016-01-01T00:00:00,2016-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1921,1743,Innlandet,Sel,34372020,8.486,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2015-01-01T00:00:00,2015-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,2100,1748,Troms og Finnmark,Berlevåg,54402020,1.362,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2017-01-01T00:00:00,2017-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1920,1743,Innlandet,Nord-Fron,34362020,8.738,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2017-01-01T00:00:00,2017-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1920,1743,Innlandet,Nord-Fron,34362020,10.475,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2015-01-01T00:00:00,2015-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,2101,1748,Troms og Finnmark,Deatnu-Tana,54412020,6.608,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2015-01-01T00:00:00,2015-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1920,1743,Innlandet,Nord-Fron,34362020,12.093,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2016-01-01T00:00:00,2016-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,2100,1748,Troms og Finnmark,Berlevåg,54402020,3.613,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2015-01-01T00:00:00,2015-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1922,1743,Innlandet,Sør-Fron,34382020,8.735,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2017-01-01T00:00:00,2017-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1922,1743,Innlandet,Sør-Fron,34382020,10.328,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2016-01-01T00:00:00,2016-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1922,1743,Innlandet,Sør-Fron,34382020,11.407,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2015-01-01T00:00:00,2015-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,2100,1748,Troms og Finnmark,Berlevåg,54402020,3.836,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2016-01-01T00:00:00,2016-12-31T00:00:00
Avtalevarighet på kommunenes fastleger,330,1921,1743,Innlandet,Sel,34372020,10.489,Årlig,Gjennomsnittlig avtalevarighet år,Antall,2017-01-01T00:00:00,2017-12-31T00:00:00
